id,value
1,4.70
2,5.44
3,5.80
4,4.57
5,7.47
6,5.03
7,8.14
8,2.48
9,1.02
10,8.17
11,7.87
12,8.70
13,3.48
14,6.91
15,3.69
16,1.57
17,2.05
18,3.53
19,5.47
20,4.32
21,2.25
22,3.65
23,5.09
24,9.75
25,8.88
26,5.11
27,7.88
28,6.31
29,2.56
30,6.00
31,2.32
32,6.68
33,7.78
34,2.69
35,9.37
36,3.39
37,3.17
38,1.32
39,7.28
40,1.15
41,9.50
42,3.86
43,3.24
44,2.01
45,4.41
46,2.20
47,1.09
48,6.34
49,7.23
50,8.42
51,8.37
52,6.93
53,2.80
54,1.50
55,1.87
56,4.63
57,9.35
58,6.73
59,4.56
60,3.91
61,4.82
62,1.17
63,6.08
64,1.37
65,6.49
66,6.85
67,3.05
68,9.71
69,9.97
70,8.54
71,8.43
72,7.82
73,2.78
74,2.07
75,5.94
76,3.44
77,6.78
78,6.73
79,4.20
80,8.88
81,5.16
82,8.20
83,8.54
84,3.49
85,1.91
86,7.41
87,3.78
88,4.02
89,1.98
90,1.49
91,2.96
92,8.66
93,9.28
94,3.91
95,3.17
96,4.06
97,2.05
98,4.91
99,4.98
100,6.99
