city,temp
Oslo,11.54
Bergen,18.12
Tromso,24.44
Stavanger,25.97
Drammen,11.73
Bodo,23.66
Hamar,14.12
Molde,27.48
Narvik,10.04
Floro,11.94
Larvik,14.31
Tonsberg,25.10
Arendal,10.80
Mandal,8.95
Elverum,10.13
Gjovik,9.07
Halden,6.92
Horten,29.56
Moss,26.51
Ski,19.20
Asker,28.62
Baerum,30.76
Lillestrom,6.29
Jessheim,10.37
Kongsberg,11.72
Honefoss,34.08
Sandefjord,28.60
Porsgrunn,10.40
Skien,23.49
Notodden,18.44
Rjukan,14.84
Kragero,25.92
Risor,14.57
Tvedestrand,9.86
Grimstad,8.79
Lillesand,17.64
Kristiansand,25.13
Vennesla,18.51
Lyngdal,11.19
Farsund,15.51
Flekkefjord,14.63
Egersund,33.00
Bryne,31.18
Sandnes,15.12
Haugesund,31.01
Stord,34.02
Odda,22.67
Voss,11.84
Sogndal,27.26
Forde,28.25
Nordfjordeid,24.44
Stranda,31.48
Volda,24.90
Orsta,27.95
Alesund,30.32
Kristiansund,22.62
Sunndalsora,25.37
Oppdal,10.37
Roros,6.20
Tynset,34.49
Alvdal,11.01
Trysil,20.58
Rendalen,32.02
Engerdal,16.48
Tolga,5.22
Folldal,19.80
Os,7.02
Nybergsund,5.17
Grue,18.47
Kongsvinger,17.00
Skarnes,14.29
Magnor,7.58
Eidskog,21.55
Aurskog,27.84
Sorumsand,32.48
Fetsund,21.18
Enebakk,27.56
Vestby,24.32
Aas,5.75
Drobak,19.65
Nesodden,19.67
Oppegard,19.39
Kolbotn,20.54
Langhus,5.83
Siggerud,12.59
Vinterbro,15.33
Tusenfryd,15.41
Brumunddal,23.84
Moelv,6.52
Lillehammer,21.87
Vinstra,31.07
Otta,21.06
Lom,30.07
Vaga,15.09
Dombas,27.51
Hjerkinn,14.33
Fredrikstad,17.39
Sarpsborg,15.90
Mysen,26.47
Askim,11.19
