item,price
Apple,17.09
Bread,40.68
Milk,39.67
Cheese,28.01
Butter,4.36
Eggs,19.53
Rice,33.10
Pasta,7.63
Chicken,10.85
Beef,39.69
Salmon,2.11
Tuna,23.81
Shrimp,31.07
Tofu,11.04
Beans,35.43
Lentils,6.97
Tomato,12.84
Potato,26.22
Onion,27.75
Garlic,2.34
Pepper,45.27
Carrot,22.26
Broccoli,36.26
Spinach,14.61
Lettuce,40.71
Cucumber,14.54
Avocado,16.42
Banana,26.65
Orange,40.39
Grape,17.60
Mango,46.96
Peach,12.21
Pear,11.18
Plum,33.92
Cherry,4.45
Melon,18.43
Kiwi,16.75
Lemon,19.86
Lime,37.48
Fig,34.39
Yogurt,4.35
Cream,38.74
Juice,41.20
Water,49.02
Soda,9.20
Tea,21.03
Coffee,38.11
Cocoa,49.83
Sugar,33.64
Salt,43.34
Flour,32.06
Oil,11.35
Vinegar,4.30
Honey,23.54
Syrup,19.96
Mustard,2.35
Ketchup,8.03
Mayo,29.59
Sauce,17.70
Salsa,3.70
Chips,32.85
Crackers,16.02
Cereal,13.35
Oats,48.02
Granola,12.32
Nuts,8.72
Seeds,24.78
Raisins,35.20
Dates,23.06
Prunes,15.80
Jam,47.21
Peanut,41.04
Almond,47.83
Walnut,43.28
Cashew,9.31
Pecan,37.16
Hazel,3.18
Pistachio,13.22
Coconut,41.28
Olive,44.33
Pickle,34.14
Radish,7.45
Celery,22.84
Corn,10.76
Peas,31.44
Squash,10.43
Yam,47.21
Turnip,30.17
Beet,43.34
Fennel,49.17
Basil,32.53
Thyme,42.52
Mint,5.16
Sage,41.06
Dill,17.45
Parsley,10.20
Cumin,34.30
Clove,47.21
Ginger,2.22
Paprika,1.88
